#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
教会	教會	jiàohuì	n.	church	book::L04 L04::essay vocab unit::Family_Language
专业	專業	zhuānyè	n.	major	book::L04 L04::essay vocab unit::Family_Language
经济学	經濟學	jīngjìxué	n.	economics	book::L04 L04::essay vocab unit::Family_Language
兴趣	興趣	xìngqù	n.	interest	book::L04 L04::essay vocab unit::Family_Language
毕业	畢業	bìyè	v.	graduate	book::L04 L04::essay vocab unit::Family_Language
银行家	銀行家	yínhángjiā	n.	banker	book::L04 L04::essay vocab unit::Family_Language
却	卻	què	adv./conj.	yet; but; however	book::L04 L04::essay vocab unit::Family_Language
文字学	文字學	wénzìxué	n.	philology	book::L04 L04::essay vocab unit::Family_Language
参加	參加	cānjiā	v.	join; attend; take part in	book::L04 L04::essay vocab unit::Family_Language
文字改革	文字改革	wénzì gǎigé	n.	reform of Chinese characters	book::L04 L04::essay vocab unit::Family_Language
同事	同事	tóngshì	n.	colleague	book::L04 L04::essay vocab unit::Family_Language
拉丁字母	拉丁字母	Lādīng zìmǔ	n.	Latin alphabet	book::L04 L04::essay vocab unit::Family_Language
编写	編寫	biānxiě	v.	compile	book::L04 L04::essay vocab unit::Family_Language
出现	出現	chūxiàn	v.	appear; emerge	book::L04 L04::essay vocab unit::Family_Language
提高	提高	tígāo	v.	raise; increase; improve	book::L04 L04::essay vocab unit::Family_Language
能力	能力	nénglì	n.	ability	book::L04 L04::essay vocab unit::Family_Language
让	讓	ràng	v.	allow; induce someone to do something	book::L04 L04::essay vocab unit::Family_Language
变	變	biàn	v.	change; become	book::L04 L04::essay vocab unit::Family_Language
另外	另外	lìngwài	conj.	additionally; in addition; besides	book::L04 L04::essay vocab unit::Family_Language
电脑	電腦	diànnǎo	n.	computer	book::L04 L04::essay vocab unit::Family_Language
手机	手機	shǒujī	n.	cell phone	book::L04 L04::essay vocab unit::Family_Language
打字	打字	dǎzì	v.o.	type	book::L04 L04::essay vocab unit::Family_Language
