#separator:tab
#html:false
#columns:Pattern	Pinyin	Usage	ExampleZh	ExampleEn	Tags
#tags column:6
一 + action 1 就 + action 2	yī ... jiù ...	as soon as / once / whenever action 1 happens, action 2 happens	王阿姨的儿子一毕业就拿到了年薪10万美金的工作。	Upon graduation, Aunt Wang's son got a job with an annual salary of 100,000 U.S. dollars.	book::L05 L05::essay grammar
为 …… 做出(的)牺牲	wèi ... zuòchū (de) xīshēng	make sacrifice for ... / the sacrifice made for ...	另一些压力来自于父母为我的教育做出的牺牲。	Other pressures came from the sacrifices my parents made for my education.	book::L05 L05::essay grammar
在 …… 压力下	zài ... yālì xià	under the pressure of ...	在这些压力下,父母的关心和爱却成了我的负担。	Under these pressures, the care and love of my parents became my burden.	book::L05 L05::essay grammar
又 adj./verb 又 adj./verb	yòu ... yòu ...	both . . . and . . . (the two highlighted traits should both be positive or both negative)	中文学校的功课又多又难。	The homework in Chinese school is so many and difficult.	book::L06 L06::dialogue grammar
越来越 adj./stative verb	yuèláiyuè ...	more and more adj./stative verb over time	我越来越讨厌这种生活,特别是牺牲星期六的时间去中文学校。	I hate this kind of life more and more, especially when I sacrifice Saturdays to go to Chinese school.	book::L06 L06::dialogue grammar
越 …… 越 ……	yuè ... yuè ...	the more . . . the more (verbs typically follow the first yue, adjectives/emotion verbs follow the second)	大家越吃越奇怪,吃起来像鸡肉,一点也不像牛肉。	The more everyone eats it, the stranger they feel. It tastes like chicken, not like beef at all.	book::L06 L06::dialogue grammar
对 someone 来说	duì ... lái shuō	to/for someone (feeling/opinion based on personal experience)	对我来说,学中文并不只是为了满足大学的语言要求,也是为了和妈妈在中国的家人交流。	For me, learning Chinese is not only to meet the language requirements of universities but also to communicate with my mother's family in China.	book::L06 L06::dialogue grammar
(并) 不只是 …… 也是 ……	(bìng) bù zhǐshì ... yěshì ...	more than . . . it is also . . . (并 strengthens the tone)	我家的狗狗不只是宠物,也是我的家人。	Our doggie is more than a pet; it is also my family.	book::L06 L06::dialogue grammar
把 . . . + V + resultative complement	bǎ ...	ba-structure describing the disposal of an object and the result the action leads to	如果我把中文学好,将来还可以教我的小孩。	If I learn Chinese well, I can teach my children in the future.	book::L06 L06::dialogue grammar
从 …… 到 ……	cóng ... dào ...	from . . . to . . .	我们从星期一到星期五都有中文课。	We have Chinese classes from Mondays to Fridays.	book::L06 L06::essay grammar
受到 ……	shòudào ...	suffer from . . . or is received . . . (used in positive or negative situations; the thing received must be abstract)	《排华法案》以后,中国移民受到很严重的歧视。	After the Chinese Exclusion Act, Chinese immigrants suffered from discrimination.	book::L06 L06::essay grammar
跟 + Noun + Verb	gēn ... + V	do something with someone (the verb goes after 'with someone')	美国人想跟中国做生意。	Americans would like to do business with China.	book::L06 L06::essay grammar
因此,sentence	yīncǐ, ...	Therefore . . . (summarizes the previous statement; placed at the beginning)	因此,戈鲲化的故事告诉我们,美国中文教育的发展跟政治和经济有直接的关系。	Therefore, from the story of Ge Kunhua, we know that the development of Chinese education in the United States is directly related to politics and economy.	book::L06 L06::essay grammar
A 跟 B 有 …… 的关系	A gēn B yǒu ... de guānxi	A is related to B / A has something to do with B	美国中文教育的发展跟政治和经济有直接的关系。	The development of Chinese language education in the U.S. is directly related to politics and economy.	book::L06 L06::essay grammar
不是 …… 就是 ……	búshì …… jiùshì ……	"if it's not . . . it's . . ."; to describe a situation as being one of only two possibilities	在学校午餐很简单,不是三明治就是汉堡。	Lunch at school is very simple, either sandwiches or hamburgers.	book::L07 L07::dialogue grammar
受不了 (不+了)	shòubùliǎo	be unable to endure; cannot stand/bear; "不+了" is the negative complement form of "得+了", used with many verbs and some adjectives	我中午在学校吃了几天汉堡就受不了。	I can't stand eating hamburgers at school for a few days at noon.	book::L07 L07::dialogue grammar
只好	zhǐhǎo	an adverb indicating "have no choice but to", where the option is not liked by the speaker	后来只好自己带中餐去学校吃。	Later, I had to bring my own Chinese food to school.	book::L07 L07::dialogue grammar
倒是	dàoshi	on the contrary; but actually; used in conversation to indicate an opposite opinion or something not expected	我倒是觉得汉堡挺好吃的,也很方便。	I think hamburgers are delicious and convenient.	book::L07 L07::dialogue grammar
难怪	nánguài	no wonder; used to convey the speaker's newfound understanding that something is unsurprising	原来是这样! 难怪人家说没有。	That's it! No wonder they say no.	book::L07 L07::dialogue grammar
在这种情况下	zài zhè zhǒng qíngkuàng xià	"under the circumstance" or "in this case"; often used at the beginning of a sentence to refer to a previously mentioned circumstance or situation	在这种情况下,很多华人声称自己是在美国出生的,是美国公民,但他们的出生记录被烧毁了。	Under such circumstances, many Chinese claimed to be born in the United States and American citizens, but their birth records were burned.	book::L07 L07::essay grammar
verb + 结果补语 (resultative complement)	dòngcí + jiéguǒ bǔyǔ	verb + resultative complement; the complement can be an adjective (好、晚、光、干净) or a monosyllabic verb (完、会、到) indicating the result of an action	市政厅着火,烧毁了大量移民的出生记录。	The city hall caught fire and destroyed the birth records of a large number of immigrants.	book::L07 L07::essay grammar
…… 这样 + (subject) + 会/才 ……	…… zhèyàng + …… huì/cái ……	"in this way; thus"; used at the start of a sentence or clause to indicate that only in this way can or will something happen	这样,他们才可以得到移民名额。	In this way, they could get the immigrant quota.	book::L07 L07::essay grammar
以 …… 的身份	yǐ …… de shēnfèn	with the identity of; as . . .; used as "someone 以……身份 + verb" to emphasize the identity someone has when doing something	从1910年到1940年,还是有很多的华人以"纸儿女"的身份进入了美国。	From 1910 to 1940, many Chinese entered the United States as "paper sons and paper daughters".	book::L07 L07::essay grammar
往 + direction + verb	wǎng + direction + verb	verb toward the direction	秦朝版图往南到今天的广东和广西省,往西南到今天的四川省。	The territory of the Qin Dynasty went south to today's Guangdong and Guangxi provinces, and southwest to today's Sichuan Province.	book::L08 L08::dialogue grammar
渐渐地 + verb	jiànjiàn de + verb	verb gradually (an uncontrollable change, often used with 变 or a verb + resultative)	用长城保护中国的想法也渐渐地变了。	The idea of using the Great Wall to protect China has gradually changed.	book::L08 L08::dialogue grammar
每 …… 都 ……	měi …… dōu ……	every . . .	在美国,每个州都有一个州府。在中国,每个省都有一个省会。	In America, every state has a state capital. In China, every province has a provincial capital.	book::L08 L08::dialogue grammar
后来 vs. 以后 vs. 然后	hòulái vs. yǐhòu vs. ránhòu	后来 = later (past events only); 以后 = in the future (future events only); 然后 = and then (conjunction, often in 先 …… 然后 …… for sequence)	商周时代中国的版图很小。后来中国的版图经过了很多朝代,就越来越大了。	China in the Shang and Zhou eras had a very small territory. Later, China's territory went through many dynasties, and it became bigger and bigger.	book::L08 L08::dialogue grammar
位于 + place word	wèiyú + place word	is located in (place); frequently used in written language	四川省位于中国的西南部。	Sichuan Province is located in the southwestern part of China.	book::L08 L08::essay grammar
S 由 …… 组成	S yóu …… zǔchéng	S is composed of (what follows 由 are the elements of the subject)	四川省由四川盆地和高原山地两大部分组成的。	Sichuan Province is composed of two geographic parts, the Sichuan basin and the plateau.	book::L08 L08::essay grammar
…… 之一	…… zhī yī	one of (noun/number); the number after 之 can be fluid, e.g. 三分之二 = 2/3	川菜是中国八大菜系之一。	Sichuan food is one of the eight cuisines of Chinese food.	book::L08 L08::essay grammar
…… 等等	…… děngděng	. . . and so on (sometimes written as a single 等; often used at the end of a sentence)	有名的景点包括九寨沟、峨眉山等等。	Famous scenic spots include Jiuzhaigou and Mt. Emei and so on.	book::L08 L08::essay grammar
Verb 了 + quantity + 了	Verb le + quantity + le	have done something for quantity up to now; the first 了 indicates the quantity of the action, and the second 了 indicates the action continues to now (so far)	她已经看了三个小时的电视了。	She has been watching TV for three hours.	book::L09 L09::dialogue grammar
S + quantity + 没有 + verb + 了	S + quantity + méiyǒu + verb + le	have NOT done something for quantity	她三天没有来上课了。	She has not come to class for three days.	book::L09 L09::dialogue grammar
可怕 vs. 害怕	kěpà vs. hàipà	可怕 (awful; dreadful; scary; horrible) is an adjective only, more common in spoken Chinese; 害怕 is similar to 怕 as a verb, can be used alone or taken apart	这是一个可怕的故事。	This is a terrible story.	book::L09 L09::dialogue grammar
Verb 来 Verb 去	Verb lái Verb qù	literally "back and forth" (e.g., 走来走去), but metaphorically means "over and over again"	我想来想去,还是决定不去朋友的生日会了。	I thought about it over and over again and decided not to go to my friend's birthday party.	book::L09 L09::dialogue grammar
